Distrito,Radiation
Évora,1732.0792351851853
Portalegre,1719.8669750000001
Viana do Castelo,1507.0960703703704
Castelo Branco,1779.5168185185182
Guarda,1804.235437037037
Bragança,1619.918198148148
Vila Real,1554.16722962963
Braga,1594.7103453703705
Faro,1954.9896268518517
Beja,1864.2665296296293
Setúbal,1840.380872222222
Lisboa,1758.072875925926
Santarém,1646.733386111111
Leiria,1615.1227351851849
Coimbra,1627.8437759259261
Aveiro,1610.7812740740744
Porto,1650.2160055555553
Viseu,1531.7619018518517
