,Distrito,Radiation
8,Faro,1676.0232758034501
9,Beja,1653.0127759092745
10,Setúbal,1637.5919290132988
0,Évora,1628.712609225465
1,Portalegre,1623.9119831117962
3,Castelo Branco,1615.2470160436703
12,Santarém,1575.7782665895359
11,Lisboa,1575.3195274139293
4,Guarda,1573.4717728134556
5,Bragança,1543.795853803477
13,Leiria,1522.3503828318105
17,Viseu,1521.01383223856
6,Vila Real,1508.3460991616344
14,Coimbra,1506.6013078996803
15,Aveiro,1484.7579937263606
16,Porto,1482.0226461959446
7,Braga,1455.8794334619397
2,Viana do Castelo,1425.3353121592384
