Distrito,Trimestre,Número de instalacões,Potência Total Instalada UPAC (kW),injecao em 2024 (kWh),Unnamed: 0,kWh/kWp,Estimativa(kWh)_AC,Percentagem injetada
Aveiro,2024T4,19670,222201.01,64465049.36554552,15,1484.7579937263606,329914725.811571,19.539912687124
Beja,2024T4,3780,55865.61,17465108.92599999,9,1653.0127759092743,92346567.06396492,18.912569769813516
Braga,2024T4,28707,211486.94,56822460.53999996,7,1455.8794334619397,307899486.3917992,18.45487344129373
Bragança,2024T4,3701,19867.51,7361055.947878705,5,1543.795853803477,30671379.563399114,23.99975499198878
Castelo Branco,2024T4,5668,47570.75,18268277.53299999,3,1615.2470160436703,76838511.98845942,23.774897587480286
Coimbra,2024T4,12506,87664.86,24227931.707964446,14,1506.6013078996805,132075992.73284239,18.34393306963186
Faro,2024T4,12901,86237.0,24352307.31299998,8,1676.02327580345,144535219.2354621,16.848701265902307
Guarda,2024T4,3787,23413.57,8188999.224999994,4,1573.4717728134556,36840591.49579194,22.22819692223283
Leiria,2024T4,16196,156174.74,44782636.30873041,13,1522.3503828318103,237752675.22765842,18.835807532280807
Lisboa,2024T4,27239,207831.84,53064869.80925722,11,1575.319527413929,327401555.9703673,16.207885650384647
Portalegre,2024T4,2729,24726.4,8112347.081999996,1,1623.9119831117962,40153497.25921552,20.203338776769073
Porto,2024T4,32933,265290.02,70295017.37976515,16,1482.0226461959446,393165817.4497751,17.87922913434482
Santarém,2024T4,15375,117984.56,37224350.01360217,12,1575.778266589536,185917505.44112912,20.021971532631863
Setúbal,2024T4,21983,109998.6,34884903.42427147,10,1637.5919290132988,180132819.56276226,19.366211836881174
Viana do Castelo,2024T4,6765,41460.1,11454095.062999992,2,1425.3353121592384,59094544.57565323,19.382660692708075
Vila Real,2024T4,6177,26068.79,7994843.4149999935,6,1508.3460991616344,39320757.70636383,20.33237374188768
Viseu,2024T4,12104,85188.96,26466273.474999987,17,1521.01383223856,129573586.51401742,20.425670221096208
Évora,2024T4,4625,41019.61,16006116.936237548,0,1628.712609225465,66809156.03251098,23.95796906706706
